family,weight,rep,dam,sire,purity,cross
F1,18.0952381,rep1,O4,O6,pure,OO
F1,14.86666667,rep2,O4,O6,pure,OO
F2,18.7,rep1,O4,W11,mix,OW
F2,13.61538462,rep2,O4,W11,mix,OW
F5,20.05,rep1,O6,O3,pure,OO
F5,13.17391304,rep2,O6,O3,pure,OO
F8,10.1,rep1,O3,O4,pure,OO
F8,6.421052632,rep2,O3,O4,pure,OO
F13,18.53333333,rep1,O5,O6,pure,OO
F13,13.06666667,rep2,O5,O6,pure,OO
F14,17.93333333,rep1,O5,O3,pure,OO
F14,10.86666667,rep2,O5,O3,pure,OO
F15,18.28571429,rep1,O5,W11,mix,OW
F15,9.2,rep2,O5,W11,mix,OW
F18,11.5,rep1,W11,W10,pure,WW
F18,8.111111111,rep2,W11,W10,pure,WW
F21,8.785714286,rep1,W10,O5,mix,WO
F21,8.933333333,rep2,W10,O5,mix,WO
F28,12.33333333,rep1,W5,O3,mix,WO
F6,19.52380952,rep1,O6,W10,mix,OW
F6,17.52941176,rep2,O6,W10,mix,OW
F26,7.933333333,rep1,W10,O4,mix,WO
F26,8.375,rep2,W10,O4,mix,WO
F24,12,rep1,W10,W5,pure,WW
F24,9.538461538,rep2,W10,W5,pure,WW
F22,14.28571429,rep1,W10,W11,pure,WW
F22,9.285714286,rep2,W10,W11,pure,WW
F27,11.5,rep1,W5,O6,mix,WO
F27,7.173913043,rep2,W5,O6,mix,WO
F19,10.22222222,rep1,W11,W5,pure,WW
F19,10.83333333,rep2,W11,W5,pure,WW
F17,8.933333333,rep1,W11,O6,mix,WO
F17,8.615384615,rep2,W11,O6,mix,WO
F12,20.0952381,rep1,O5,O4,pure,OO
F12,17.92307692,rep2,O5,O4,pure,OO
F10,16.2,rep1,O3,W10,mix,OW
F10,16.14285714,rep2,O3,W10,mix,OW
F4,17.5,rep1,O4,W5,mix,OW
F4,14.9,rep2,O4,W5,mix,OW
F9,14.90909091,rep1,O3,W11,mix,OW
F9,14.6875,rep2,O3,W11,mix,OW
F9,17.38461538,rep3,O3,W11,mix,OW
F30,8.6,rep1,W5,W7,pure,WW
F30,7.733333333,rep2,W5,W7,pure,WW
F30,10.08333333,rep3,W5,W7,pure,WW
F28,10.27777778,rep1,W5,O3,mix,WO
